passenger_id,first_name,last_name,totl_spent,spend_rank
131,Darlene,Hughes,3804.00,1
927,Ethan,Lopez,3703.00,2
765,Tiffany,Diaz,3670.00,3
172,Andrew,Love,3566.00,4
497,Robert,Bell,3445.00,5
303,Sean,Davis,3351.00,6
395,Timothy,Tate,3233.00,7
259,Gabrielle,Mckinney,3184.00,8
570,Derrick,Bennett,3101.00,9
385,Julie,Anderson,3075.00,10
971,Michael,Smith,2982.00,11
1490,Katherine,Gonzales,2980.00,12
1387,Nicole,Montoya,2939.00,13
1011,Anna,Bryant,2924.00,14
31,Kimberly,Young,2902.00,15
391,Daniel,Smith,2858.00,16
301,Autumn,Alexander,2831.00,17
421,Christopher,Watkins,2788.00,18
1389,Holly,Bradshaw,2785.00,19
879,James,Thomas,2710.00,20
732,Andrew,Hart,2682.00,21
1425,David,Fitzgerald,2651.00,22
741,Haley,Oliver,2626.00,23
174,Kathy,Kim,2555.00,24
567,Elizabeth,Thomas,2553.00,25
624,Dale,Boone,2551.00,26
868,Richard,Green,2542.00,27
14,Dale,Romero,2505.00,28
991,Kevin,Griffin,2499.00,29
805,Denise,Love,2480.00,30
1349,Ana,Johnson,2478.00,31
731,Desiree,Evans,2476.00,32
1173,Patricia,Goodwin,2388.00,33
536,Robert,Coleman,2342.00,34
185,Crystal,Williams,2331.00,35
853,Angela,Davis,2308.00,36
322,Nicole,Wilson,2289.00,37
1180,Barbara,Rodriguez,2285.00,38
787,Nancy,Cook,2275.00,39
1315,Angela,Williams,2269.00,40
262,Angela,Short,2266.00,41
1348,Joshua,Brewer,2250.00,42
73,Gary,Norton,2250.00,42
1379,Troy,Casey,2250.00,42
140,William,Hancock,2220.00,45
1029,Brian,Olsen,2215.00,46
896,Bruce,George,2209.00,47
161,Daniel,Perry,2199.00,48
1305,Christopher,Anderson,2172.00,49
647,Shelia,Yang,2161.00,50
367,David,Sherman,2161.00,50
61,Kathleen,Becker,2160.00,52
881,Douglas,Davis,2159.00,53
696,Stephanie,Ford,2154.00,54
1052,Miguel,Ashley,2149.00,55
1281,Jason,Anderson,2145.00,56
650,Michael,Buckley,2132.00,57
1181,Sean,Melendez,2113.00,58
851,Brandon,Jones,2103.00,59
703,Kelly,Mcguire,2100.00,60
300,Jeremy,Watson,2099.00,61
458,Nicole,Fletcher,2097.00,62
1061,Daniel,Christensen,2085.00,63
540,Scott,Brooks,2082.00,64
36,Curtis,Murphy,2073.00,65
763,Rachel,Gray,2070.00,66
632,Brianna,Reid,2063.00,67
1073,Jeremy,Smith,2048.00,68
1165,Kevin,Robinson,2033.00,69
1381,Diana,Duffy,2033.00,69
780,Tiffany,Cook,2032.00,71
954,Bradley,Ford,2030.00,72
846,Dawn,Thompson,2026.00,73
204,Michael,Nunez,2000.00,74
1003,Nicholas,Nicholson,1993.00,75
575,April,Cox,1983.00,76
1322,Amanda,Leonard,1978.00,77
656,Ronald,Johnson,1978.00,77
1196,Morgan,Wilcox,1977.00,79
409,Cassidy,Wright,1972.00,80
191,Melissa,Hopkins,1966.00,81
1301,Michelle,Snyder,1966.00,81
1172,Jennifer,Hanna,1966.00,81
837,Amber,Perez,1957.00,84
605,Michael,Santiago,1956.00,85
271,Renee,Stevenson,1949.00,86
266,Jennifer,Tucker,1949.00,86
7,Scott,Sampson,1946.00,88
287,Joshua,Lee,1936.00,89
359,Eric,Vasquez,1934.00,90
513,Joshua,Molina,1931.00,91
939,Edward,Rodriguez,1909.00,92
1185,David,Moore,1905.00,93
945,Erik,Lawson,1904.00,94
1120,Victoria,Beltran,1884.00,95
224,Susan,Smith,1884.00,95
1074,Peter,Fitzgerald,1878.00,97
504,Stephen,Carlson,1869.00,98
1202,Joyce,Stanley,1866.00,99
1187,Christina,Weiss,1865.00,100
316,Emily,Rodriguez,1865.00,100
1223,Jeffrey,Davis,1864.00,102
809,Alexa,Vaughn,1846.00,103
722,Andrea,Fuller,1833.00,104
236,Bianca,Sutton,1828.00,105
416,Marcus,Smith,1822.00,106
115,Daniel,Cole,1812.00,107
1195,David,Webster,1807.00,108
461,Veronica,Hickman,1803.00,109
774,Crystal,Watson,1800.00,110
1395,Jeffrey,Pope,1800.00,110
1058,Angela,Ryan,1799.00,112
928,Christopher,Bartlett,1798.00,113
706,Joseph,Gentry,1795.00,114
1207,Jeremiah,Miller,1794.00,115
606,Jason,Graham,1785.00,116
1150,Christina,Salazar,1775.00,117
398,Laura,Lee,1772.00,118
1047,Shannon,Ferguson,1772.00,118
82,Jenny,Hansen,1768.00,120
145,Mikayla,James,1759.00,121
983,Tommy,Mason,1755.00,122
142,Jacob,Holmes,1751.00,123
756,Aaron,Lopez,1751.00,123
512,Andrew,Logan,1748.00,125
1155,Justin,Hogan,1738.00,126
734,Stephen,Kennedy,1737.00,127
20,Julie,Walker,1735.00,128
132,Christopher,Cooper,1728.00,129
680,William,Olsen,1714.00,130
1019,Brad,Ramirez,1708.00,131
1326,Richard,Weaver,1701.00,132
1153,Jacob,Jones,1698.00,133
1001,Tamara,Vasquez,1692.00,134
1475,Randy,Lee,1688.00,135
143,Jessica,Walker,1683.00,136
1329,Jack,Peterson,1677.00,137
1245,Audrey,Taylor,1673.00,138
1461,Robert,Gordon,1663.00,139
653,Olivia,Garcia,1662.00,140
1146,Nicholas,Case,1662.00,140
844,Dustin,Bowers,1651.00,142
1299,Jeffery,Walker,1651.00,142
477,Hunter,Cruz,1649.00,144
720,Krystal,Henderson,1648.00,145
214,Erin,Collins,1639.00,146
625,Mark,Cole,1635.00,147
1428,Ashley,Davis,1633.00,148
644,Jonathan,Walker,1630.00,149
1339,Colleen,Edwards,1625.00,150
1455,Sherri,Davis,1623.00,151
948,Emily,Taylor,1622.00,152
455,Matthew,Shelton,1616.00,153
923,Robert,Wright,1610.00,154
1332,Carl,Johnson,1605.00,155
167,Eugene,Singleton,1604.00,156
253,Maria,Turner,1603.00,157
1392,Samantha,Martinez,1601.00,158
158,Melissa,West,1598.00,159
688,Erik,Moody,1598.00,159
840,Nicole,Davis,1590.00,161
376,Stephanie,Gregory,1588.00,162
663,Megan,Oconnor,1587.00,163
1344,Kerri,Kane,1575.00,164
38,Raymond,Banks,1570.00,165
377,John,Harper,1568.00,166
86,Emily,Taylor,1566.00,167
1108,Paul,Weaver,1565.00,168
908,Frederick,Jordan,1565.00,168
1323,Jennifer,Peterson,1565.00,168
447,David,Dean,1559.00,171
189,Jonathan,Smith,1550.00,172
10,Thomas,Strickland,1550.00,172
94,Tamara,Wagner,1548.00,174
771,Jason,Hampton,1547.00,175
261,Terri,Reyes,1547.00,175
1175,Kelsey,Miller,1540.00,177
558,Theresa,Merritt,1536.00,178
432,Miguel,Montgomery,1536.00,178
1283,George,Garcia,1523.00,180
903,Samuel,Hernandez,1522.00,181
1149,Michelle,Alexander,1520.00,182
649,April,Taylor,1519.00,183
1028,Joseph,Hardin,1516.00,184
817,Adrian,Brooks,1515.00,185
507,James,Davis,1515.00,185
452,Stephanie,Meyer,1512.00,187
109,Spencer,Ward,1512.00,187
1421,Michael,Kramer,1504.00,189
467,Richard,Nelson,1504.00,189
1145,Catherine,Novak,1503.00,191
206,Garrett,Garcia,1501.00,192
1373,Kelly,Silva,1498.00,193
12,Laura,Wilson,1496.00,194
737,Barbara,Scott,1489.00,195
1427,Kara,Wheeler,1487.00,196
92,Emily,Edwards,1485.00,197
852,Jessica,Walker,1484.00,198
532,Karina,Long,1483.00,199
827,Kristin,Smith,1474.00,200
922,Megan,Norman,1473.00,201
187,Catherine,Thompson,1469.00,202
1234,Robin,Ramos,1468.00,203
342,Jorge,Gordon,1466.00,204
1464,Jasmine,Hernandez,1466.00,204
913,Ronald,Snyder,1460.00,206
577,Alexis,Greer,1460.00,206
1012,Nicole,Davis,1459.00,208
821,Ana,Clayton,1458.00,209
1278,Jeffery,Bradley,1457.00,210
940,Bradley,Wilson,1453.00,211
1476,Robert,Williams,1450.00,212
285,Adam,White,1444.00,213
1345,Melissa,Bowman,1438.00,214
249,Nicole,Hall,1438.00,214
766,Jeremy,Collins,1437.00,216
334,Hannah,Mccormick,1434.00,217
1457,Rebecca,Phillips,1421.00,218
718,William,Davis,1416.00,219
542,Jacob,Blair,1412.00,220
666,Corey,Knapp,1411.00,221
240,Cathy,Holloway,1409.00,222
65,Mary,Avila,1409.00,222
164,Lindsey,Mills,1404.00,224
